场次,类型,问题,剧本内容,难易程度,召回率
87-1,"角色, 剧情, 场景",图恒宇因为什么事件导致了右眼角的伤疤？,"突然，一辆正在高速行驶的自动驾驶货车闯红灯直接撞向了图恒宇车的后部， 
整车被拦腰撞断，图恒宇所处的车头部分在路上急速打着转，最终撞上路边 
的一辆车停下。 
救护车笛声响起，十字路口的监控摄像头默默注视着这一切。",难,
95,道具,550系列有哪几个型号？分别出现在了哪些场次中？,"550A 因为过载，冒出浓烟。 
图恒宇 
如果成了，别忘了丫丫。",难,
97-15,剧情,刘培强哪场和韩朵朵求婚的？,"此时，刘培强掏出一枚“戒指”（注释：“戒指”其实就是电磁肌肉的启动 
按键的套环，上面写着“Made in China”）递给韩朵朵，在蓝色火光的映衬 
之下，这枚“戒指”熠熠发光。 
韩朵朵眼含热泪，一脸幸福望着刘培强。",容易,
97-15,"剧情, 道具",刘培强和韩朵朵求婚的戒指是什么？,"此时，刘培强掏出一枚“戒指”（注释：“戒指”其实就是电磁肌肉的启动 
按键的套环，上面写着“Made in China”）递给韩朵朵，在蓝色火光的映衬 
之下，这枚“戒指”熠熠发光。 
韩朵朵眼含热泪，一脸幸福望着刘培强。",容易,
98-16,"剧情, 世界观",从什么时候开始计时制由二十四时制改为六十时制？,"新闻画面： 
由于地球逐步停转，海平面上升，救援队在海里对受灾人群进行救援。 
新闻解说（O.S.） 
随着地球逐步停转，计时制由二十四时制改 
为六十时制...... 
字卡：2051、2052、2053",适中,
104、112,"剧情, 世界观",韩朵朵得了什么病？,,适中,
98-17,世界观,辐射癌在哪场被首次提出？,"新闻画面： 
医院病房里，住满了患辐射癌的病人，医护人员正在悉心照管。109 
新闻解说（O.S.） 
（印尼语） 
日照辐射剧增，导致全球癌症呈爆发式增 
长..",适中,
98-21,"世界观, 剧情",刘启在哪年中签获得地下城资格？,"字卡：2055 
狭小的客厅里，韩朵朵拿着奶瓶给婴儿床里的刘启喂奶。刘培强坐在餐桌上 
大口地吃面，旁边放着一本航天员训练手册。刘培强收到短信（短信内容显 
示：第 24 次抽签，刘培强，获得入住地下城资格，详细入住方式等待进一步 
通知）。刘培强并未对此信息表现出高兴，反而一脸丧气",容易,
104,"角色, 服化",韩朵朵从哪场开始是光头？,"嬉闹中，刘启不小心碰掉了韩朵朵（注释：辐射致癌）的假发，露出里面的 
光头，刘培强赶紧给朵朵把假发重新戴好。刘启看到妈妈没有头发的样子， 
一下子呆住了，眼泪吧嗒吧嗒直掉，韩朵朵急忙安慰。",难,
107、108,"角色, 服化",刘培强哪几场穿了西装？,"刘培强落寞地从其中一扇门走出，小心翼翼换脱下西服，收回到袋里，换上 
日常的旧棉服。离开关门时，他习惯性地留了一条门缝。图恒宇、刘培强二 
人擦肩而过，图恒宇看着刘培强离去的落寞背影。",适中,
110、111,"道具, 角色",刘培强削的苹果从哪里来的？,"110.供给站执勤人员（O.S） 
你干什么？请排好队，所有人都在排队！ 
刘培强转身准备走，供给站工作人员又叫住刘培强，递给他一袋水果。 
供给站工作人员 
2044 年立过功？有水果。下一位，拿好啊！
111.在拥挤的六人间病房里,虚弱的韩朵朵躺在病床上，温柔地看着刘培强。刘培 
强坐在病床边的小凳子上，削苹果削得很专注，苹果皮被削得很薄很薄。小 
刘启坐在远处靠墙的凳子上，看着一本书：《太阳系的小秘密》。一边看， 
一边偷瞄父亲和母亲的状态。",难,
118、119、120、121,"剧情, 角色",哪几场戏刘培强和韩朵朵回了上海？,,适中,
130、133、137,视觉特效,逐月发动机爆炸后是什么状态？,"130、EXT.太空 月球 
环形山四周尘埃漫天。 发动机解体爆炸后残余的部分飞出月表，随着爆炸产 
生的灰烬和激起的月尘一起逐渐在月球周边形成一个星环。
133、EXT.太空 月球 
发动机爆炸产生的碎片继续在月球周边扩散，爆炸产生的火光团成一个橘黄 
色的亮点在月表闪耀。
137、INT.夜.巴黎 UEG 飞控中心
飞控中心的工作人员们纷纷抬起头看向大屏幕（UEG 飞控中心的大屏幕显示： 
“逐月”三号发动机在月球表面呈现出炙热明亮的红光）。",难,
136-2,"道具, 角色",剧本中哪场用到了拉面？拉面的是哪国人？,"136-2、INT.夜.布拉柴维尔 小餐馆 
食客们正在享用晚餐，刚忙完的餐馆老板到手机上的信息，疑惑地展示给后 
厨正在拉面的厨师。餐馆厨师 
（法语） 
发生什么了？",容易,
141-1,"世界观, 剧情",“逐月”计划方案试验成功是哪年？,"在 2044 年，“逐月”计划试验 
成功以后，我们曾经提出过一个备用方案： 
在月表以相控阵方式引爆全球核武，触发月 
核聚变，自爆瓦解。在座的有三十三国代表 
收到了和我一样的信息……",容易,
141-1,"世界观, 剧情",点燃月球的备用计划在哪年被提出？,"在 2044 年，“逐月”计划试验 
成功以后，我们曾经提出过一个备用方案： 
在月表以相控阵方式引爆全球核武，触发月 
核聚变，自爆瓦解。在座的有三十三国代表 
收到了和我一样的信息……",适中,
153,"UI, 场景, 剧情",月球危机后，UEG大会会场被改成了什么？里面的大屏幕显示了什么内容？,"会场内部（注释：原 UEG 大会会场，被临时改造为指挥中心）四处散落着纸 
张和线缆，各国的官员、军人、科学家都在其中，都在忙碌地进行着各项准 
备工作。UEG 徽被一个 LED 遮挡了一半，LED 上有一上一下两个醒目红色 
的倒计时，倒计时牌正下方显示着一副世界地图，地图上标注着全球根服务 
器位置，其中北京、东京、杜勒斯三处主根服务器最为明显（左侧的一块屏 
幕上显示：“领航员”空间站-无信号）。倒计时牌附近，工人正在吊装一块 
大屏幕。 
主席台和代表席已经被部分拆除，摆放着各组临时架设的各类电脑屏幕。靠 
近右侧的两纵席位上，负责重启全球互联网的团队已经开始工作。郝晓晞看 
向大屏幕（屏幕显示：行星发动机组状态，未联网）。指挥中心总指挥正在 
向一个网络技术人员咆哮。",难,
154、8-14、9、10、98-22,"角色, 服化, 剧情, 世界观",154场时郝晓晞多少岁？（36岁）,"8-14、EXT.日.利伯维尔 
战火纷飞，烽烟四起的城市鸟瞰。 
解说（V.O.） 
“移山”计划的可行性验证…… 
黑场 
解说（V.O.） 
……迫在眉睫。 
淡入 
字卡：2044 
9、EXT.日.纽约 
一声爆炸划破黑暗，自由女神像立于晨雾缭绕的海中，远方的城市背景隐隐 
冒着浓烟，警笛声及纽约警察在对讲机里的呼救声传来。 
字卡：纽约 
纽约警察（O.S） 
坐标第一大道，这里遭受了爆炸物袭击，重 
复，我们被袭击了……坐标联合政府大道，我 
们有三名警员受伤，请求增援……坐标联合政 
府大楼，我们遭受了爆炸物攻击，请求增援。 
UEG 总部大楼周边，星星点点几处冒着黑烟。13 
字卡：联合政府总部大楼 
10、INT.日.纽约 UEG 总部大楼 大会会场/走廊/小会议室 
主席台上空无一人，现场一片嘈杂混乱。 
代表甲（O.S.） 
（阿拉伯语） 
联合政府被袭击了，你在费城那边也小心。 
会场内，一位年轻的中方女代表（郝晓晞，22 岁）接到电话。 
郝晓晞 
（对电话） 
好，明白，您稍等。 
她着急忙慌地穿越人头攒动的会场及走廊，一路上还有别国代表窃窃私语的 
声音。 
代表乙（O.S.） 
（英语） 
我觉得就是数字派那帮人干的，就不该禁止 
“数字生命”计划。 
郝晓晞 
对不起。
98-22、INT.日.纽约 UEG 总部大楼 大会会场 
郝晓晞在主席台上发言。手边的文稿上，原来打印字体写的“移山”计划被 
钢笔划掉，底下手写着“流浪地球”计划。 
郝晓晞 
......在此，邀请我们每一个人共同守护属于我 
们全人类的团结，并请允许我代表中国郑重 
宣布“移山”计划正式更名为“流浪地球” 
计划。 
黑场 
淡入 
字卡：2058",难,
158,"服化, 剧情, 世界观",CER专用雨衣是什么？哪些角色在哪些场次穿了？,"马兆、图恒宇身披 CER 专用雨衣（注释：中国应急预案执行组，英文是 China 
Emergency Response, 缩写为 CER）",适中,
159,"UI, 角色, 世界观, 剧情",马兆在遗书里写了什么？,"后勤人员乙 
还有什么想说的，可以写下来。 
马兆在“遗书”页面反复画着一个莫比乌斯环的符号：“∞”。",容易,
164、98-21,"角色, 世界观",刘培强在领航员空间站运输艇呼叫韩子昂和刘启时，刘启几岁了？（3岁左右）,"98-21
字卡：2055 
狭小的客厅里，韩朵朵拿着奶瓶给婴儿床里的刘启喂奶。刘培强坐在餐桌上 
大口地吃面，旁边放着一本航天员训练手册。刘培强收到短信（短信内容显 
示：第 24 次抽签，刘培强，获得入住地下城资格，详细入住方式等待进一步 
通知）。刘培强并未对此信息表现出高兴，反而一脸丧气。
164 
一箱箱核弹被机械臂运送到运输艇上。 
刘培强坐在运输艇（注释：33 号运输艇）驾驶舱副驾驶座上，看着驾驶舱外 
的核弹箱，意识到自己的运输艇快要出发了，他使用手臂屏呼叫韩子昂和刘172 
启。 
此刻，刘培强的手臂屏上，韩子昂的通话一直未接通。",难,
165,服化,图恒宇等人穿的潜水衣是什么材质的？,"165
徐天龙 
潜水衣是铝合金打造的，重达二百四十公斤，",容易,
176,"世界观, 剧情, 道具, 视觉特效",2058年北京房价大概多少钱一平？,"爬满藤壶的橱窗中有大量房屋售卖广告，依然可以看到类似“XXX 小区大三 
居原价 15 万元/平米现价 300 元/平米”的招贴。一只原本趴在橱窗上的章鱼 
被灯光刺激，蜷缩游走。",适中,
184、190,"角色, 道具, 物理特效, 服化, 特效化妆",徐天龙受了什么伤？为什么受伤？,"话音刚落，指令员的手支撑不住，猛地一折。 
与此同时的水下，重压门一下回弹，军用机器人用一条腿撑住，但腿部关节 
一下子被挤压断裂。 
徐天龙的头盔被压出了裂缝（注释：面罩玻璃破损，头盔报废），而且他的 
腿和机器人的腿卡在了一起，明显骨折了。 
徐天龙 
腿！",适中,
194、195,"角色, 特效化妆",195场刘培强脸上有伤吗？,"194、EXT/INT.月球 坎帕努斯 废弃基地/33 号运输艇 驾驶舱 
刘培强的主观视角： 
嘶嘶的氧气泄漏声音非常明显。 
刘培强的双眼睁开，他的面罩上裂开一条很长的裂逢，氧气泄漏的声音正是 
从这里传来的。他的面前是撞击变形的运输艇座舱（手臂屏上显示：氧气已 
泄露）。 
血从他的眼前滴下来，他想用手把血擦掉，但是发现隔着面罩无法触碰到自 
己的脸。",适中,
214,"角色, 剧情",马兆在死之前说了什么？,"有最后一组密码！ 
此时，马兆开始溺水，水逐渐没过他的头部。 
马兆 
（被水逐渐淹没） 
记住！没有人类的文明……毫无……意义…… 
图恒宇努力想要救出马兆，潜入水中去拉马兆，可惜还是够不到。 
水下的马兆向图恒宇挥了挥手，做最后的告别。 
马兆被水淹没。",适中,
226,UI,张鹏最后发给刘培强的坐标位置是什么？,"核弹布置点 B，张鹏在手臂上输入了一个坐标，是一个坐标位置：28.32° 
W,28.00°S。",适中,
229,角色,张鹏经常对刘培强做的动作是什么？,"法国航天员本打算离去继续工作，刚走两步便好像接收到什么请求，无奈地 
转身回到刘培强面前，隔着航天员头盔敲了刘培强的脑门三下。 
刘培强愣住了，瞬间好像看到面前的法国航天员变成了张鹏，他一下反应过 
来这是张鹏在托人给他带信。",难,
246、247、248-6,视觉特效,引爆月球后，月球是什么状态？,"246、冲击波逐一爆开，在月球表面划出一个个半球状的圆环。 
核弹布置点 B，张鹏面对一道冲击波激起的月尘之墙，这堵墙已经彻底遮盖 
了环形山的巨大缺口，向上向下向左向右都无限延伸，逐渐把视野里的地球 
遮盖。 
张鹏 
（喃喃） 
培强啊……地球，还挺美好的…… 
张鹏按下按钮，光芒之墙吞噬了张鹏。 
随着航天员们纷纷按下引爆器，核武器爆炸的冲击波逐渐由外圈向内圈推进。 
爆炸产生了耀眼的光，并在固体表面掀起了层层褶皱如同海浪一般，这些层 
层推进的固体海浪向圆心挤压过去，它们相互叠加，越来越高，地面开始震232 
动，月幔深处的核聚变开始剧烈地影响月表，最终所有的固体海浪在圆心处 
大约三十米直径左右的范围内迎面相互撞在了一起，剧烈喷涌而出，月壤融 
化并化作极亮的光，闪得人无法直视。 
月表，人类留下的一切痕迹均被挤压消灭。
247、EXT.太空 月球 
相控阵圆心处的小山内部发出亮光，释放出巨大的能量，耀眼的亮光在岩石 
中迅速蔓延。 
月球开始瓦解。
248-6、EXT.无日夜.太空 
月球开始碎散，肉眼可见的巨大碎块显现出来，围绕月球的星环更加浓密。 
飞控中心工作人员（V.O.） 
（英语） 
相控阵核爆成功，月核聚变开始。 
字卡：距互联网恢复还剩 27 分钟",难,
258,"角色, 服化",258场的图恒宇右眼角有伤疤吗？,"258、INT.日.数字世界 图丫丫房间 
图丫丫回头，打开房门的正是 27 岁的图恒宇，他身穿数字生命研究所白大褂 
缓步进入房间，面露疑惑，图丫丫立马奔向父亲。 
图丫丫 
爸爸，抱抱！",难,
159、223,"道具, 角色",图恒宇在水下是如何给笔记本电脑做防水措施的？,"159、INT.夜.北京 吊舱运输机 
吊装舱内，马兆向团队展示了密钥的使用方式，并小心翼翼放入防水盒中。 
马兆 
发动机的专用网络还未搭建完成，点火的唯 
一的办法只有重启全球互联网。这是重启互 
联网的密钥，密码是实时生成的三万个随机 
数，只有它才能接入互联网，联通全球发动 
机。联通发动机后，由 550W 覆写发动机操 
作系统，统一点火指令。 
图恒宇仍在试图消化着诸多信息，一名后勤人员将一个箱子放在他脚边。 
后勤人员甲 
您要的东西给您带来了。 
图恒宇 
谢谢。 
箱子变形展开，变成了笨笨。 
笨笨亲昵地冲图恒宇打招呼。169 
图恒宇 
笨笨。 
图恒宇伸手拍了拍机械狗头，摸到了笨笨机体表面的防水薄膜。 
后勤人员甲 
这是防水喷雾，是在物体表面生成薄膜，以 
达到极强的疏水效果，使得物体防水。 
后勤人员向众人展示手中防水喷雾的使用方法。 
另一名后勤人员向众人分发平板电脑。223、INT.夜.北京 北京三号行星发动机 坝外水下 根服务器大楼 控制室 
控制室大门口，大量海水没过悬桥，向控制室内灌入。216 
此时控制室内海水已经漫过图恒宇的腰部，他艰难地行走在水中，向 550W 
和笔记本电脑等电器上加喷防水喷雾，加裹防水薄膜。 
笨笨帮不上什么忙，便陪在图恒宇身旁。",适中,
